asin	title	reviewer_id	reviewer_name	review_text	rating	summary	review_date	total_votes	helpful_votes	unhelpful_votes
6300215695	White Christmas [VHS]	A2ZNJI5FCZYKWT	1mikem	Bing, Danny, Rosemary, Vera, what a great troup of actors and actresses. The music is always great especially the title song. Mary Wickes is the great comic relief of the movie. It is a must see every year, no Christmas is complete w/o watching this movie.	5.0	We Had A White Christmas	2013-02-20	1	1	0
6300215695	White Christmas [VHS]	A3QU7Y80WJ1J0C	5statesandcounting	Showed up on time and in perfect condition. Couldn't ask for more. However, if your looking for a bunch of special features, this isn't the place. It's the movie + a few special features but that's it.	4.0	Perfect	2012-12-27	1	1	0
6300215695	White Christmas [VHS]	A3NQ2ZIK4GYAC6	Abbi Darling	I love this movie and when I received it, it is in great shape.  It has made a great addition to my collection.	5.0	Love this movie	2012-12-27	1	1	0
6300215695	White Christmas [VHS]	A2ZO6FPN3GJD02	"""abbystarangel"""	I'm 16 years old and I can recite everyline from &quot;White Christmas&quot;!  It sounds funny and unbelievable, but it's true.  Ever since I was a little girl I watch this movie like a million from thanksgiving to new years.  And I never get tired of it.  But then again how could you?!  The songs are great and it's such a warm movie.  It wouldnt feel like Christmas with out...	5.0	Forever White	2001-11-19	4	4	0
6300215695	White Christmas [VHS]	A3UT41TWD7N0D5	AbeStreet	"This may seem like a long review but it is worth it if you are a fan of the film.It is my decision not leave reviews for the same movie or product twice. In this case it may look like I have left 2 reviews for the movie WHITE CHRISTMAS (WC). This is not the case. In the past I left a review for the DVD version of WC and now I'm leaving it for the WC Collectors Edition (WCCE).I already have the lp of WC but missed the opportunity to purchase it on cd. Good luck trying to find the soundtrack to WC it is in heavy demand.  Anyway I was searching for the cd soundtrack on a Ebay. Whenever I typed in ""WC"" I got pages and pages of results, too many to sort through. I did no better when typing ""WC cd"" in the search engine. Then I remembered that Peggy Lee sang in place of Rosemary Clooney on the soundtrack and I typed in ""WC and Peggy Lee"" and only a few items came up and one of them was the WCCE. At first this item looks like any other WC video offered up on the auction block. Nothing special. However, I wondered why the movie image popped up when I did a seach for Peggy Lee ,since she was not in the movie, and this is what I discovered.Back in 1994 Paramount put together a 40th anniversary package for fans of the film. This package included a widescreen vhs version of the film with a couple of trailers for the film, a copy of Rosemary Clooney's actual script, an 8x10 glossy photo of the 4 film stars in one of the films ending dance sequences, a copy of the soundtrack cd that I had been looking for, and a booklet with photos from Rosemary Clooney of the film during production with comments. All this was packaged in an attrative white book. Written on the inside cover of the book is a one page letter from Rosemary Clooney detailing her thoughts on WC then and now.The price I paid for this new unopened package was less than the price of some new cd's. I don't think the seller knew what they were selling and I don't think buyers who glaced at the picture knew what was being offered. I got the better end of the deal. This is an outstanding item for fans of the film. The booklet, with it's commentary hints at Rosemary's relationship with some of the cast members. I was startled to find that Rosemary Clooney and Vera-Ellen were not that close, mostly due to Vera-Ellen and what is hinted at as her stand offish attitude. The script actually lists Donald O'Connor in the role of Phil Davis. Evidently Mr. O'Connor injured himself prior to the filming and that was when Danny Kaye took over the part.Finally, WCCE is more than worth the price for real fans of the film. With Rosemary Clooney's passing earlier this year it is unlikely that a more complete editon of this film will ever be released as she was responsible for much of the background info in the WCCE and the DVD version. I just can't praise this edition enough. If you are a real fan of the movie you will want this item and may want to purchase it before Amazon.com runs out."	5.0	White Christmas - The Collectors Editon	2002-12-12	0	0	0
6300215695	White Christmas [VHS]	A3KWG3K10U1XTQ	activeinvestor	This is our holiday tradition, watching White Christmas.  Owning the movie on Blu-ray makes it convenient to watch any time.	5.0	Our holiday tradition	2014-01-22	0	0	0
6300215695	White Christmas [VHS]	A21FG37K440GGA	Adrienne Gearheart	We recently moved and my copy of White Christmas was lost. It is a tradition for our family to watch every year and I am glad the tradition will continue. The copy came promptly and was in great condition.	5.0	Wonderful!!	2012-12-24	1	1	0
6300215695	White Christmas [VHS]	A2NYMUB8CLGD66	AILEEN LA TOUR	i have always enjoyed this christmas movie.  it is one of the best for cosby and with all the cast.	5.0	great movie	2012-12-20	1	1	0
6300215695	White Christmas [VHS]	A2WRXS7389F137	"AJB ""AJB"""	Great movie. We've watched it every year since I could remember.  It just isn't Christmas without it.	5.0	"It isn't Christmas season until ""White Christmas"" has been watched..."	2007-11-03	0	0	0
6300215695	White Christmas [VHS]	AMY53FGK69YHF	A J	This along with several other digital classics I purchased today then down loaded to my Kindle HD would not play with out an internet connection. I did not buy streaming and I selected down load.Waste of money and I am starting to think the Kindle HD was as well.	1.0	Do Not Buy this for your kindle!!!	2013-12-18	3	0	3
